step,x1_real,x2_real,u_real,x1_ref
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,-0.002769971,0.0
11,0.05251226,0.109744385,-0.012871191,0.0
12,-0.013266627,-0.010624753,-0.012111101,0.0
13,0.004850476,0.1319019,-0.028041095,0.0
14,-0.009355795,0.1335907,0.004895671,0.0
15,-0.04690544,0.13127808,-0.01119447,0.0
16,-0.17061643,0.020175224,-0.013650645,0.0
17,-0.021809645,-0.14049925,-0.009289489,0.0
18,-0.013135408,-0.084916964,-0.021577343,0.0
19,-0.06307759,0.035187658,-0.018112881,0.0
20,-0.051569052,-0.01926502,-0.014005575,0.0
21,-0.005214004,-0.059156448,0.0017694988,0.0
22,0.07114069,-0.10935466,-0.008062207,0.0
23,-0.0010517337,-0.10878585,0.0068100393,0.0
24,-0.02636897,0.14081132,-0.009772553,0.0
25,0.03854871,-0.03514308,-0.0169716,0.0
26,0.014431574,-0.025248371,-0.019178044,0.0
27,0.04753928,-0.2072548,0.03092011,0.0
28,0.048414756,-0.085049205,-0.05213867,0.0
29,-0.03670141,-0.1863635,-0.8835949,0.0
30,-0.5104067,-0.8408918,-2.9191911,-2.0
31,-1.6356882,-3.2074282,-2.9127798,-2.0
32,-2.38668,-3.7230377,-2.7032876,-2.0
33,-2.4093263,-3.7079146,-2.5912905,-2.0
34,-2.2741215,-3.6270735,-2.582255,-2.0
35,-2.4125748,-3.4926455,-2.582196,-2.0
36,-2.3597357,-3.427464,-2.5755048,-2.0
37,-2.4176323,-3.3574631,-2.5133286,-2.0
38,-2.4151852,-3.46789,-2.444738,-2.0
39,-2.3186667,-3.437122,-2.5119944,-2.0
40,-2.3414178,-3.441745,-2.39659,-2.0
41,-2.157113,-3.2925081,-2.3947027,-2.0
42,-2.1394448,-3.238392,-2.401249,-2.0
43,-2.1363614,-3.1854374,-2.3161275,-2.0
44,-2.0999174,-3.2358751,-2.3845952,-2.0
45,-2.1527693,-3.324843,-2.3675652,-2.0
46,-2.1872587,-3.137368,-2.2231717,-2.0
47,-2.079271,-2.9810126,-2.284095,-2.0
48,-2.0737288,-3.059196,-2.257859,-2.0
49,-1.9800001,-3.080851,-2.2370715,-2.0
50,-2.0425909,-3.0072231,-2.1745872,-2.0
51,-1.973706,-2.9298337,-2.1455965,-2.0
52,-1.9447919,-2.946931,-2.0600393,-2.0
53,-1.9097022,-2.8504293,-2.1117055,-2.0
54,-1.9436772,-2.7896843,-1.9996506,-2.0
