step,x1_real,x2_real,u_real,x1_ref
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,-0.009528191,0.0
11,0.05691244,-0.03445105,-0.009523553,0.0
12,-0.021893669,0.02432596,-0.022637954,0.0
13,-0.057833314,-0.17666705,-0.016022984,0.0
14,-0.05294839,-0.14677913,-0.01633902,0.0
15,-0.029291185,-0.08453217,0.00532092,0.0
16,-0.031599145,-0.0069732643,-0.00083918846,0.0
17,-0.013093481,0.0007633435,-0.018790174,0.0
18,0.028235916,-0.07299646,-0.022580393,0.0
19,-0.009487533,0.14092341,-0.018124092,0.0
20,0.049176823,0.25701645,-0.02103559,0.0
21,-0.046924334,-0.08912684,-0.025629498,0.0
22,-0.049304273,0.07238419,0.0011967446,0.0
23,-0.01645879,0.055435795,0.0015762511,0.0
24,0.072140776,0.20418294,-0.010908697,0.0
25,0.061368313,0.07391666,0.00585417,0.0
26,0.084984854,-0.0069977874,0.007597829,0.0
27,0.058720306,-0.074407585,-0.090030685,0.0
28,-0.07644163,-0.27364504,-0.4613395,0.0
29,-0.2849003,-0.70719707,-1.4161731,0.0
30,-0.92270994,-1.5341592,-2.7499175,-2.0
31,-1.7178249,-2.8399074,-2.6993852,-2.0
32,-2.0637324,-3.352008,-2.6299007,-2.0
33,-2.2465868,-3.4157379,-2.6156902,-2.0
34,-2.3681657,-3.6525679,-2.5853837,-2.0
35,-2.419696,-3.6492348,-2.577736,-2.0
36,-2.3627753,-3.3058417,-2.5597882,-2.0
37,-2.296586,-3.333277,-2.575366,-2.0
38,-2.2880902,-3.3751028,-2.5787892,-2.0
39,-2.356021,-3.387859,-2.5479286,-2.0
40,-2.3389428,-3.3435323,-2.5468159,-2.0
41,-2.330811,-3.4859395,-2.5363948,-2.0
42,-2.3652067,-3.5454152,-2.5384731,-2.0
43,-2.342985,-3.504468,-2.5179992,-2.0
44,-2.3654218,-3.485499,-2.5196197,-2.0
45,-2.4063857,-3.3546896,-2.513633,-2.0
46,-2.3235607,-3.6568482,-2.5023928,-2.0
47,-2.259458,-3.5063255,-2.4539948,-2.0
48,-2.2173765,-3.3270462,-2.47668,-2.0
49,-2.3144863,-3.502653,-2.4878147,-2.0
50,-2.2787259,-3.4228618,-2.4232779,-2.0
51,-2.2809136,-3.2241635,-2.4258995,-2.0
52,-2.185311,-3.3188267,-2.4361694,-2.0
53,-2.1514769,-3.5136564,-2.4273572,-2.0
54,-2.2459805,-3.3940935,-2.4214935,-2.0
