step,x1_real,x2_real,u_real,x1_ref
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,-0.004649829,0.0
11,0.04148712,-0.074526,0.0062988666,0.0
12,-0.015497602,-0.015260265,-0.009136262,0.0
13,-0.025907652,0.13908976,-0.02705575,0.0
14,-0.044446707,-0.0128986975,-0.016618578,0.0
15,-0.027528297,-0.03143157,-0.002369717,0.0
16,0.013853873,-0.06755504,-0.00442093,0.0
17,-0.061514914,-0.07402503,-0.028614957,0.0
18,-0.12059251,-0.055765964,-0.0026567043,0.0
19,-0.04052943,-0.06062698,0.0018791297,0.0
20,-0.07556195,0.13660383,-0.014165466,0.0
21,-0.04112047,-0.0080795735,-0.029829077,0.0
22,-0.029042633,-0.13329771,-0.0026490348,0.0
23,0.036803752,-0.067569375,-0.008586345,0.0
24,-0.02415794,-0.09557325,-0.028449047,0.0
25,0.007655656,0.09455878,-0.0074698227,0.0
26,-0.042427205,0.11271226,-0.009325283,0.0
27,-0.085433275,0.019792063,0.05293825,0.0
28,0.01330698,0.08518864,-0.024622269,0.0
29,0.010854594,0.27429754,-0.8913865,0.0
30,-0.5134625,-0.65346354,-3.1540904,-2.0
31,-1.8047646,-3.3297164,-3.0633383,-2.0
32,-2.438505,-4.1437883,-2.9224021,-2.0
33,-2.7025661,-4.012307,-2.8753037,-2.0
34,-2.6169357,-3.691837,-2.8433936,-2.0
35,-2.565172,-3.8748314,-2.8495529,-2.0
36,-2.5067103,-3.906585,-2.8404603,-2.0
37,-2.6227262,-3.9451041,-2.884396,-2.0
38,-2.6460583,-4.142589,-2.838144,-2.0
39,-2.6654813,-3.995377,-2.8356333,-2.0
40,-2.6257675,-4.0271363,-2.8483133,-2.0
41,-2.52859,-3.9994454,-2.8326278,-2.0
42,-2.5322769,-3.9725037,-2.8391452,-2.0
43,-2.6376657,-3.9985278,-2.8220916,-2.0
44,-2.619375,-3.8536477,-2.8043041,-2.0
45,-2.547141,-3.7457252,-2.7874453,-2.0
46,-2.5521922,-3.9179273,-2.7714827,-2.0
47,-2.518646,-3.8763328,-2.77825,-2.0
48,-2.50477,-3.8130982,-2.743681,-2.0
49,-2.5019968,-3.839855,-2.7145853,-2.0
50,-2.4924903,-3.6926801,-2.6965468,-2.0
51,-2.3487635,-3.7592168,-2.6746705,-2.0
52,-2.4361265,-3.5356176,-2.7055748,-2.0
53,-2.3384137,-3.7214665,-2.638513,-2.0
54,-2.433472,-3.6062894,-2.6444087,-2.0
