step,x1_real,x2_real,u_real,x1_ref
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,-0.015112046,0.0
11,-0.06963399,0.19531804,0.0019889914,0.0
12,0.00908078,0.22532815,-0.018179836,0.0
13,-0.050293475,0.08073025,-0.0024393618,0.0
14,0.0030263336,0.06311472,-0.005365337,0.0
15,0.01532981,0.25621468,-0.02008404,0.0
16,0.05000387,-0.14788459,-0.02779153,0.0
17,-0.042707063,-0.046446048,-0.03108871,0.0
18,-0.0618931,0.0042560385,-0.0022252577,0.0
19,-0.0040536905,-0.01427932,0.0048710853,0.0
20,-0.014735824,0.0037027446,-0.014172224,0.0
21,-0.041839212,-0.0003407247,0.0003220066,0.0
22,0.047190223,-0.05581801,-0.028423354,0.0
23,0.045185685,0.14951362,-0.018666327,0.0
24,0.05099497,-0.09096533,-0.008519922,0.0
25,-0.074280694,0.05025423,0.01059669,0.0
26,-0.06478247,0.09336912,-0.0055748923,0.0
27,0.015868422,-0.039635196,-0.094024256,0.0
28,-0.074248254,-0.17455561,-0.45669913,0.0
29,-0.36370492,-0.52322215,-1.2883543,0.0
30,-0.84675086,-1.4338576,-2.585535,-2.0
31,-1.6728966,-2.8491566,-2.5008698,-2.0
32,-2.1078928,-3.137982,-2.3946173,-2.0
33,-2.1482952,-3.1990004,-2.3862252,-2.0
34,-2.2028499,-3.3540418,-2.371529,-2.0
35,-2.1888578,-3.0057552,-2.3178303,-2.0
36,-2.143141,-3.1321735,-2.3661535,-2.0
37,-2.2232904,-3.171565,-2.3034196,-2.0
38,-2.1050184,-3.0413659,-2.2070696,-2.0
39,-2.0235016,-3.0430613,-2.2420676,-2.0
40,-1.9861557,-3.026079,-2.2975988,-2.0
41,-2.0333748,-3.0933225,-2.2948403,-2.0
42,-2.023484,-3.1215103,-2.2187817,-2.0
43,-2.0374181,-3.0642304,-2.1913989,-2.0
44,-1.9854122,-3.0164473,-2.1498137,-2.0
45,-1.8661318,-2.9490886,-2.2506309,-2.0
46,-1.90731,-2.9585657,-2.1445704,-2.0
47,-1.9330081,-2.9788957,-2.1224356,-2.0
48,-2.0587382,-3.0154939,-2.1254606,-2.0
49,-2.0196855,-2.9739327,-1.9946151,-2.0
50,-1.9300215,-2.6840801,-2.1308079,-2.0
51,-1.9215536,-2.7583976,-2.068491,-2.0
52,-1.9247221,-2.7253773,-2.0492344,-2.0
53,-1.9403208,-2.7257698,-2.0241349,-2.0
54,-1.8516923,-2.6915283,-1.9629142,-2.0
