step,x1_real,x2_real,u_real,x1_ref
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,-0.02309156,0.0
11,-0.015137622,-0.11303435,-0.012630244,0.0
12,-0.07628729,-0.16546133,-0.029942216,0.0
13,-0.03921822,-0.01052094,-0.012479227,0.0
14,0.00046980978,0.13367477,-0.017374905,0.0
15,-0.0107047,0.033357352,-0.021295246,0.0
16,0.022305675,0.04148768,-0.016319161,0.0
17,0.017117294,-0.15631603,-0.014912358,0.0
18,-0.059896667,-0.1730522,-0.0106675085,0.0
19,-0.07295385,-0.03814578,0.002424173,0.0
20,-0.001099203,-0.25907087,-0.0056928913,0.0
21,-0.049718626,0.03179633,-0.020508284,0.0
22,-0.009564324,-0.17952132,-0.020253908,0.0
23,-0.12181275,-0.25199455,-0.0010481268,0.0
24,-0.016649174,-0.033094317,0.019149983,0.0
25,-0.078639805,0.028240109,0.0037330957,0.0
26,-0.006445646,0.14713503,-0.0149427,0.0
27,0.063668706,-0.10564627,-0.09743799,0.0
28,-0.09541729,-0.1829188,-0.55940044,0.0
29,-0.32696337,-0.77099526,-1.4926497,0.0
30,-0.96298325,-1.4651004,-2.9468691,-3.0
31,-1.9061307,-3.5177634,-2.956488,-3.0
32,-2.3446686,-3.781215,-2.8144271,-3.0
33,-2.536579,-3.8705819,-2.6938167,-3.0
34,-2.5086405,-3.7891862,-2.6647742,-3.0
35,-2.4267375,-3.6137311,-2.7723312,-3.0
36,-2.4405813,-3.804436,-2.7000227,-3.0
37,-2.4586596,-3.8020966,-2.7044303,-3.0
38,-2.4555576,-3.7018344,-2.6881423,-3.0
39,-2.352817,-3.5242805,-2.6185105,-3.0
40,-2.3611622,-3.5236936,-2.615084,-3.0
41,-2.2384198,-3.6460319,-2.5052922,-3.0
42,-2.2333152,-3.6089842,-2.5863338,-3.0
43,-2.3774323,-3.4288857,-2.505156,-3.0
44,-2.407748,-3.2685504,-2.541666,-3.0
45,-2.3031871,-3.4539614,-2.338411,-3.0
46,-2.253085,-3.352287,-2.3732035,-3.0
47,-2.193413,-3.3504395,-2.275743,-3.0
48,-2.0671175,-3.1920817,-2.3158283,-3.0
49,-2.1114504,-3.0398788,-2.4046154,-3.0
50,-2.1039724,-3.2821867,-2.3217752,-3.0
51,-2.1190748,-3.2264876,-2.258479,-3.0
52,-1.9939952,-3.1432266,-2.182663,-3.0
53,-2.011998,-2.9260178,-2.2487648,-3.0
54,-1.9951962,-2.923874,-2.1864676,-3.0
