step,x1_real,x2_real,u_real,x1_ref
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,-0.020827668,0.0
11,0.02357787,-0.06018831,-0.02386619,0.0
12,-0.015472087,-0.058137488,-0.030569632,0.0
13,-0.04540122,0.07449023,-0.02969102,0.0
14,0.02222994,-0.10356,-0.011597016,0.0
15,0.057621196,0.025956899,-0.018921798,0.0
16,-0.030099852,-0.075124495,-0.020179816,0.0
17,-0.0002797808,-0.04176679,-0.035168942,0.0
18,-0.007162979,-0.25699794,-0.015492173,0.0
19,-0.035700303,0.04099692,-0.01139673,0.0
20,-0.006718024,-0.090865694,-0.0052649514,0.0
21,-0.002566773,-0.18944746,-0.033173654,0.0
22,-0.037427597,-0.11553655,-0.011875254,0.0
23,-0.03643896,0.061540853,0.012369875,0.0
24,-0.0071088043,-0.022857934,-0.018823294,0.0
25,-0.003733461,-0.047511943,-0.009624028,0.0
26,-0.08885433,-0.028545098,0.0014363672,0.0
27,-0.046416964,0.041025862,-0.11536943,0.0
28,-0.13647608,-0.012959729,-0.45415944,0.0
29,-0.2817939,-0.4366097,-1.4367386,0.0
30,-0.78111726,-1.6243367,-2.7570245,-2.0
31,-1.8887047,-3.0991364,-2.7119837,-2.0
32,-2.300152,-3.4814432,-2.6128228,-2.0
33,-2.3391392,-3.4873629,-2.5748975,-2.0
34,-2.3343914,-3.5639908,-2.5594358,-2.0
35,-2.2755532,-3.4780734,-2.5512455,-2.0
36,-2.2493858,-3.3903756,-2.589917,-2.0
37,-2.352874,-3.4611685,-2.565391,-2.0
38,-2.3999665,-3.6616986,-2.5395443,-2.0
39,-2.287169,-3.6301084,-2.54894,-2.0
40,-2.2922463,-3.4798298,-2.5456119,-2.0
41,-2.357856,-3.3684547,-2.5568616,-2.0
42,-2.3651967,-3.4140058,-2.5417426,-2.0
43,-2.2102702,-3.6264021,-2.531865,-2.0
44,-2.217094,-3.4603446,-2.507446,-2.0
45,-2.282734,-3.3598871,-2.4890008,-2.0
46,-2.2573743,-3.4448073,-2.5297477,-2.0
47,-2.2507355,-3.4429197,-2.4764643,-2.0
48,-2.2773588,-3.3969707,-2.4624937,-2.0
49,-2.3551373,-3.267431,-2.4599037,-2.0
50,-2.2521958,-3.3287919,-2.4192734,-2.0
51,-2.2186835,-3.4631102,-2.4499347,-2.0
52,-2.3211925,-3.4510164,-2.4123979,-2.0
53,-2.2509675,-3.2344835,-2.4569628,-2.0
54,-2.284849,-3.304054,-2.4271743,-2.0
