step,x1_real,x2_real,u_real,x1_ref
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,-0.010155385,0.0
11,0.03207609,0.06930959,-0.023816032,0.0
12,0.080357604,0.11436371,-0.03220812,0.0
13,-0.047695417,-0.18480138,-0.025011286,0.0
14,0.05807336,-0.2126859,-0.004581717,0.0
15,0.020191392,-0.15700689,-0.013704854,0.0
16,-0.053213287,0.004831158,-0.004503596,0.0
17,-0.012777149,0.008262371,-0.02068164,0.0
18,-0.06450773,-0.01731965,-0.008554729,0.0
19,-0.024076622,0.19323672,-0.009987971,0.0
20,0.0025772417,-0.119069286,-0.021666639,0.0
21,-0.040489137,0.0033921108,0.006220345,0.0
22,0.053771738,0.039686244,-0.016891897,0.0
23,0.0644547,0.044395287,-0.017250622,0.0
24,-0.016719053,-0.059776034,-0.029509844,0.0
25,-0.006192603,0.04109392,-0.005452693,0.0
26,-0.026127974,-0.018018106,-0.0027065654,0.0
27,0.038343716,0.14447562,0.04775034,0.0
28,0.016163079,0.11219297,-0.087948576,0.0
29,0.004210263,-0.021264067,-0.91432214,0.0
30,-0.5209354,-0.99769163,-2.893074,-2.0
31,-1.714439,-3.116787,-2.8320026,-2.0
32,-2.2430785,-3.6260347,-2.6727993,-2.0
33,-2.3560426,-3.8006394,-2.6063893,-2.0
34,-2.4521713,-3.6454191,-2.5943358,-2.0
35,-2.3524587,-3.580067,-2.5382366,-2.0
36,-2.3209631,-3.5713534,-2.489569,-2.0
37,-2.308058,-3.4270115,-2.4406056,-2.0
38,-2.3220968,-3.3017235,-2.5009406,-2.0
39,-2.2287629,-3.3574712,-2.5285087,-2.0
40,-2.2225223,-3.24959,-2.5083606,-2.0
41,-2.243269,-3.4200268,-2.4416363,-2.0
42,-2.2078056,-3.432743,-2.3767674,-2.0
43,-2.2998662,-3.456774,-2.275294,-2.0
44,-2.1141338,-3.0725667,-2.3265848,-2.0
45,-1.9882965,-3.1706388,-2.325871,-2.0
46,-2.027374,-3.1001873,-2.384277,-2.0
47,-2.1206262,-3.134798,-2.2816901,-2.0
48,-2.1020815,-3.1366274,-2.235349,-2.0
49,-1.9824922,-3.0631506,-2.1718998,-2.0
50,-2.009223,-2.8414664,-2.206524,-2.0
51,-2.0544925,-3.1409032,-2.1416192,-2.0
52,-2.00203,-2.8834882,-2.0553236,-2.0
53,-1.8265034,-2.7508967,-2.058861,-2.0
54,-1.8524635,-2.8725617,-2.0417242,-2.0
